isim,sayi
MEHMET,3893150
ALİ,2445817
MUSTAFA,2151789
AHMET,1913459
HÜSEYİN,1456120
HASAN,1448192
İBRAHİM,1103645
İSMAİL,927405
OSMAN,839628
HALİL,682426
ÖMER,571873
YUSUF,556607
SÜLEYMAN,532144
RAMAZAN,507384
MURAT,491341
ABDULLAH,461207
MAHMUT,390467
SALİH,361431
KEMAL,356218
RECEP,314845
YAŞAR,310326
EMİN,268083
BEKİR,247479
KADİR,246782
BAYRAM,230509
ŞÜKRÜ,220603
CEMAL,212096
MUSA,211726
NURİ,200426
ADEM,199369
MEMET,198697
METİN,191095
DURSUN,182154
ORHAN,181518
HACI,177495
ARİF,173823
ŞABAN,173765
FATİH,173150
ZEKİ,172947
İSMET,171900
İHSAN,168953
ABDURRAHMAN,164583
SABRİ,160781
YILMAZ,155858
CELAL,155228
KAMİL,154962
RIZA,154935
HAKKI,151490
SELAHATTİN,150283
VELİ,149293
MUZAFFER,147617
HAKAN,147466
MEVLÜT,145547
DURMUŞ,139995
CEMİL,137796
MUHARREM,133409
NECATİ,131008
YAKUP,130935
NURETTİN,127134
KAZIM,125644
HALİT,125554
EROL,123029
SADIK,120977
İSA,117118
EKREM,116801
SAİT,116536
AZİZ,115558
AYHAN,113559
SERKAN,112709
KENAN,110153
NİYAZİ,108324
CENGİZ,108045
NİHAT,107739
GÖKHAN,107400
SELİM,107299
YUNUS,105237
BİLAL,104765
AYDIN,104333
HAYDAR,103886
REMZİ,102978
MUHAMMET,102452
BÜLENT,101796
UĞUR,101342
İLYAS,101149
ŞEVKET,100663
MESUT,100012
FARUK,99761
SAMİ,98018
HİKMET,97648
HAMDİ,95196
TAHİR,94850
ERKAN,94243
HAMİT,93065
ŞERİF,92653
ERCAN,92409
SİNAN,92243
TAHSİN,92141
ZİYA,92130
ADNAN,91174
İRFAN,91031
ERDAL,90063
ABDULKADİR,89769
CUMA,88198
TURAN,85574
CAFER,85308
SEDAT,85231
İZZET,84901
ENVER,83824
FEVZİ,83626
HAMZA,83247
MUAMMER,82938
ŞAHİN,81988
VEYSEL,81330
NEVZAT,80709
TEVFİK,79119
SALİM,78476
İLHAN,77995
ERDOĞAN,77980
ŞAKİR,77922
YASİN,77569
YÜKSEL,77042
SERDAR,76594
EMRE,75734
HARUN,75370
ADİL,75100
FİKRET,74743
ENGİN,73599
HÜSNÜ,72939
ÜMİT,72531
İDRİS,72399
DAVUT,71424
BURHAN,71059
HİLMİ,70686
FERHAT,70377
DURAN,69910
HAYRETTİN,68507
FAHRİ,67606
EMRAH,67529
KASIM,66458
FAHRETTİN,64989
MUHİTTİN,64808
ERHAN,64189
RASİM,63993
ZAFER,62339
DOĞAN,59688
YAVUZ,58821
YAHYA,57713
CEVDET,57666
ZEKERİYA,57328
FEHMİ,57310
ÖZGÜR,57198
EYÜP,57130
REŞİT,57056
VEDAT,56846
SEYİT,56406
BAHRİ,56186
KERİM,55926
ÇETİN,55748
FUAT,55742
ÖZCAN,54646
TURGUT,53437
NECMETTİN,53259
LEVENT,53259
HAYRİ,53223
ŞERAFETTİN,53212
SEFER,52968
SELÇUK,52166
HALİS,52096
ONUR,52044
NAZMİ,51999
AKİF,51625
FAİK,51473
HACİ,51208
TUNCAY,50693
LÜTFİ,49140
SATILMIŞ,49089
BAHATTİN,48983
SEYFETTİN,48798
NAZIM,48461
NECDET,47687
SUAT,47322
FİKRİ,47163
MÜSLÜM,47016
RESUL,46956
KAZİM,46882
CAN,46627
BARIŞ,46603
ERSİN,45247
NACİ,45242
SEBAHATTİN,45197
YALÇIN,45175
HIDIR,45008
ŞEVKİ,44611
RAHMİ,44147
ÖZKAN,44070
ŞEYHMUS,43989
SERVET,43431
EŞREF,43408
VOLKAN,43399
HANİFİ,43185
RİFAT,42362
CEVAT,42105
BURAK,42037
CİHAN,42023
ŞENOL,41949
MUHSİN,41570
