isim,sayi
FATMA,2963419
AYŞE,2229078
EMİNE,1803110
HATİCE,1462412
ZEYNEP,668146
MERYEM,466676
ŞERİFE,408168
SULTAN,402900
HANİFE,385980
ELİF,373145
FADİME,327822
HAVVA,319441
CEMİLE,306991
ZELİHA,302218
ZEHRA,293604
SEVİM,289531
HACER,269918
HAYRİYE,253681
KADRİYE,234399
GÜLSÜM,225003
AYSEL,222735
HALİME,216112
HANIM,214953
ASİYE,205636
HAVA,204239
DÖNDÜ,200172
LEYLA,198605
MELEK,196363
ZEKİYE,192410
KEZİBAN,189534
NACİYE,185948
HÜLYA,185801
NURİYE,183495
AYTEN,182653
AYNUR,180545
MAKBULE,175578
SANİYE,175009
TÜRKAN,169272
GÜLLÜ,164732
NAZMİYE,161331
DUDU,160500
SAFİYE,158435
ÖZLEM,155732
HAMİDE,155147
HURİYE,153285
FERİDE,152139
RUKİYE,150795
YASEMİN,148750
ŞÜKRAN,147903
REMZİYE,147888
RAHİME,146756
DİLEK,146282
RABİA,145637
SONGÜL,143950
SEVGİ,140572
SELMA,137913
YETER,137863
MÜNEVVER,136190
ESMA,135873
FİLİZ,133303
NURTEN,133051
SEHER,131791
MELİHA,127781
SALİHA,127571
HEDİYE,125362
NAZİFE,124683
SAADET,123090
PERİHAN,121635
MEDİNE,121341
GÜLER,120885
FİKRİYE,119967
ZAHİDE,116969
HAFİZE,116717
CENNET,116709
GÜLTEN,115037
SEMRA,114748
MÜZEYYEN,113064
ARİFE,112996
ELMAS,112966
GÖNÜL,111866
RAZİYE,111853
ŞÜKRİYE,111431
BEDRİYE,109664
HATUN,109007
YILDIZ,108975
NECLA,108449
SERPİL,107929
NURAY,106394
HABİBE,106181
GÜLAY,104300
ZÜBEYDE,104219
NERİMAN,103712
ARZU,103136
LÜTFİYE,101521
MELAHAT,100254
NURCAN,99242
NERMİN,98619
ÜMMÜ,98613
SİBEL,97913
GÜLŞEN,97713
KEZBAN,97351
SABRİYE,95722
GÜLÜZAR,94466
NURAN,93493
MERAL,93456
ELİFE,93272
DÖNE,92893
ESRA,92388
DERYA,90313
ŞENGÜL,88767
ALİYE,88154
KAMİLE,87602
NİMET,86571
HASİBE,86303
ŞAZİYE,84461
PAKİZE,84447
ŞEFİKA,84273
GÜLSEREN,83442
SEBAHAT,82489
NAZLI,82416
KIYMET,80949
SAKİNE,80514
ÇİĞDEM,79767
TÜLAY,79529
NAİME,79189
EMEL,78842
ADİLE,78722
FAHRİYE,78335
AZİZE,78330
AYFER,78240
NESLİHAN,77613
SATI,76607
SEMA,76098
AYŞEGÜL,74768
PINAR,74699
YÜKSEL,74480
NEBAHAT,74176
SEMİHA,73465
SIDIKA,72694
SAİME,71325
FATİME,71141
ESME,70624
TUĞBA,70225
SERAP,69130
CANAN,69121
HÜSNE,68900
HADİCE,68272
BEHİYE,68239
ŞADİYE,68058
GÜLİZAR,67434
VESİLE,65970
EBRU,65882
NEVİN,65496
GÜLCAN,64892
NAZİRE,64808
MEVLÜDE,64736
SABİHA,64667
SEVDA,64520
NESRİN,62853
SUNA,62527
REYHAN,62199
İLKNUR,62077
GÜL,61937
HÜSNİYE,61519
SELİME,60161
DİLBER,59355
ALİME,59279
BİRGÜL,58603
FİDAN,58557
AZİME,58319
NEZAHAT,58106
NİHAL,56975
SENEM,56851
BAHRİYE,56660
BAHAR,56140
ZÖHRE,55960
NAİLE,55245
